5532682MEDIFOL 5                                   5 mg comp.x 30          00003479NNAustral         00000490020160502002000073885407798011651757003010SNN00
5827006AEROTROP                                    aer.HFA x 12.5 ml(250ds)00007198NNCassar†         00001406820160502002080464747107795373013087025010SNN00
4897413AEROTROP                                    sol.p/neb.x24unid.x2.5ml00004385NNCassar†         00001282220160502002080463820107795373010031002410NNN00
5850396AEROTROP                                    spray nasal x 120 dosis 00004338NNCassar†         00000880020160502002080464431907795373011205012010SNN00
4051432AG-B 10                                     10 mcg susp.iny.x1x0.5ml00007387SNCassar†         00000807120160502002000464667107795373000308000111NNN00
4051431AG-B 20                                     susp.iny.f.a.x 1 x 1 ml 00009179SNCassar†         00001049420160502002000464618507795373000223000111NNN00
9923060ALFABASE                                    cr.x 75 g               00000000NNCassar†         00001551220160502001100462306007795373010093000110NNN00
9923061ALFABASE                                    emuls.x 150 g           00000000NNCassar†         00002098020160502001100462306107795373010109000110NNN00
9923062ALFABASE 8                                  cr.x 60 g               00000000NNCassar†         00001797020160502001100462306207795373010116000110NNN00
4772252ALFACORT                                    1% cr.x 30 g            00003816NNCassar†         00000729420160502002020462423107795373010123000110SNN00
4772413ALFACORT                                    1% emuls.x 100 ml       00015007NNCassar†         00001583320160502002020462423207795373010161000130SNN00
4772411ALFACORT                                    1% emuls.x 15 ml        00001787NNCassar†         00000514620160502002020462646207795373013230000110SNN00
2875913ALFACORT                                    ung.estÇril x 5 g       00000000NNCassar†         00001770120160502002000465070407795373011342000110SNN00
2875912ALFACORT UNIDOSIS                           env.x 20 unidosis       00004097NNCassar†         00001202120160502002020462512607795373010291002010SNN00
9938250ANAGEN 5%                                   loc.capilar x 100 ml    00000000NNCassar†         00001598020160502001000463825007795373010062000110NNN00
5332552ATOPIX                                      comp.rec.x 20           00007262NNCassar†         00000884520160502002020463689807795373010246002010SNN00
5332682ATOPIX                                      gts.x 20 ml             00002868NNCassar†         00000702220160502002020463718007795373010253000110SNN00
5257547BETACORT CASSARA                            gts.x 30 ml             00003219NNCassar†         00000901420160502002000465123107795373000322000110SNN00
6193394BETACORT PLUS CASSARA                       cr.dÇrmica x 25 g       00000000NNCassar†         00001014020160502002020464905007795373013148000120SNN00
5579133BUTOCORT HFA                                aer.x 250 dosis         00000000NNCassar†         00001086120160502002060463985807795373022126025010SNN00
4836522CLAMOXOL DUO                                comp.rec.x 14           00011771NNCassar†         00001977520160502003080464204207795373010727001430SNN00
5051562CLIDAN                                      gel dÇrm.x 15 g         00002020NNCassar†         00000572220160502002080463663207795373012646000110SNN00
5081282CLIDAN B                                    gel x 30 g              00000000NNCassar†         00001119120160502002020463920507795373011267000111SNN00
4608161DERMASEB                                    loc.dermica gelif.x 30 g00000000NNCassar†         00001682420160502002000465186207795373010352000110NNN00
4166452EPOGEN                                      2000 UI f.a.x 1 x 1 ml  00000000NNCassar†         00000968920160502002000463475707795373023789000110NNN00
5752971EPOGEN                                      4000 UI f.a.x 1 x 1 ml  00000000NNCassar†         00001957020160502002000464445707795373023901000110NNN00
4649832ERIMICIN                                    loc.topica derm. x 30 g 00000000NNCassar†         00002010120160502002000465186307795373010512000110NNN00
6339396ERISOL                                      4% gel x 30 g           00007959NNCassar†         00001728520160502002000465169807795373013650000110SNN00
0195482ESODAR                                      susp.est.x 10 ml        00000000NNCassar†         00000655420160502002020460202907795373010475000110SNN00
4029336EUMICEL COLAGENO                            2% shamp.x 120 ml       00007420NNCassar†         00001559620160502002020465094807795373011816000110SNN00
6284973FLUCODERM                                   150 mg comp.ran.x 4     00010079NNCassar†         00002482920160502002020465051707795373011168000430SNN00
5972424FLUTICORT                                   125 mcg aer.HFA x 120ds.00016960NNCassar†         00003052320160502002060464672607795373014046012010SNN00
5972554FLUTICORT                                   250 mcg aer.HFA x 120ds.00017541NNCassar†         00003562820160502002060464672707795373014053012010SNN00
5210311FLUTICORT                                   50 mcg spray nasalx60ds.00004200NNCassar†         00001020020160502002060464563607795373017627006010SNN00
6041974FLUTIVENT HFA                               125/25 mcg dosis x 120  00018020NNCassar†         00003341120160502002080464816907795373015159012030SNN00
6041971FLUTIVENT HFA                               125/25 mcg dosis x 60   00008416NNCassar†         00001869720160502002080464815607795373014718006010SNN00
6042004FLUTIVENT HFA                               250/25 mcg dosis x 120  00018253NNCassar†         00003809520160502002080464796807795373015166012030SNN00
6042001FLUTIVENT HFA                               250/25 mcg dosis x 60   00009127NNCassar†         00001989420160502002080464768007795373014725006010SNN00
6090135FLUTIVENT+AEROMED HFA                       125/25mcg ds.x150+espac.00016818NNCassar†         00003825120160502002080464868107795373013155015010SNN00
9933299FOTOSOL                                     emuls.x 50 g            00000000NNCassar†         00000616920160502001100463329907795373014367000110NNN00
9940985FOTOSOL ULTRA 50                            cr.x 50 g               00000000NNCassar†         00001462920160502001100464098507795373030459000110NNN00
9950926FOTOSOL ULTRA 50+                           cr.x 50 g               00000000NNCassar†         00001800520160502001100465092607795373030510000110NNN00
9939340FOTOSOL ULTRA AUTOBRONCEANTE                emuls.x 100 g           00000000NNCassar†         00001723720160502001000463934007795373030442000110NNN00
9951441FOTOSOL ULTRA CASSARA                       cr.x 30 g               00000000NNCassar†         00001038120160502001100465144107795373030411000110NNN00
9951442FOTOSOL ULTRA CASSARA                       emuls.x 100 g           00000000NNCassar†         00001880520160502001100465144207795373030428000110NNN00
9949393FOTOSOL ULTRA SPRAY                         aer.(spray) x 80ml/70g  00000000NNCassar†         00002328520160502001100464939307795373001886000110NNN00
9951002FOTOSOL ULTRA SPRAY                         spray X 150 ml          00000000NNCassar†         00003029420160502001100465100207795373030497000110NNN00
4913401FUSIMED                                     2% cr.x 15 g            00000000NNCassar†         00000784420160502002080462610607795373013797000110SNN00
4228582FUSIMED B                                   emuls.x 50 g            00000000NNCassar†         00001467220160502002020462306407795373013780000110SNN00
4228581FUSIMED B OTONASAL                          emuls.x 15 g            00000000NNCassar†         00000958120160502002020462436207795373013773000110SNN00
5888392GASTROCALM                                  gts.x 20 ml             00000000NNCassar†         00000490020160502002000464485707795373011304000110SNN00
