6339421STRIVERDI RESPIMAT                          sol.p/inh.x 30ds.+inhal.00000000NNBoehringer Ingel00008821220160504012000365242104048846008527003010NNN00
5959262CALLEXE                                     sol.oral x 250 ml       00000000NNCasasco         00010080020151221002020454536417791909101518000110SNN00
4112151DANLOX                                      20 mg caps.x 14         00005508NNCasasco         00001434820160329002020451760417791909408808001410SNN00
5143191FACTOR AE                                   cr.x 50 g               00000000NNCasasco         00000493720151221002020453921517791909103611000110NNN00
5472971ACLASTA                                     5 mg f.a.x 100 ml       00000000NNNovartis        00045994620160503013020493812807795306045659000110NNN00
0326651ANAFRANIL                                   a.x 10                  00000000NNNovartis        00002441920160503403020490217407795306365368001010NNN00
0325581ANAFRANIL                                   grag.x 30               00005401NNNovartis        00000933620160503403020490217307795306152296003010SNN00
3938191ANAFRANIL 75 DIVITABS                       75 mg comp.rec.x 20     00011768NNNovartis        00002034220160503403020491600307795306152302002010SNN00
6160711ARZERRA                                     100 mg/50 ml vial x 3   00000000NNNovartis        00184277220160418012000495234907794640820359000330NNN00
0208921DESFERAL                                    f.a.x 10                00000000NNNovartis        00009392220160503012020490912107795306163575001010NNN00
5049791DIOVAN                                      80 mg comp.rec.x 14     00009087NNNovartis        00001984920160503012080493192307795306502633001410SNN00
5570712DIOVAN D                                    320/25 mg comp.rec.x 28 00000000NNNovartis        00004474720160503012020494014907795306087871002830SNN00
4402562DIOVAN D                                    80/12.5 mg comp.rec.x 2800000000NNNovartis        00003743820160503012020492156307795306503050002830SNN00
5665132EXFORGE                                     10/160 mg comp.rec.x 28 00000000NNNovartis        00004998720160503012020494084007795306104233002830SNN00
5665002EXFORGE                                     5/160 mg comp.rec.x 28  00000000NNNovartis        00004998720160503012020494083807795306104196002830SNN00
5700262EXFORGE                                     5/320 mg comp.rec.x 28  00000000NNNovartis        00005193020160503012020494208507795306104486002830SNN00
5664971EXFORGE                                     5/80 mg comp.rec.x 14   00000000NNNovartis        00002950020160503012020494351007795306103984001410SNN00
2373724PARLODEL                                    2.5 mg comp.x 28        00006396NNNovartis        00001190620160503002060494485307795306138528002810SNN00
3009471SIRDALUD                                    comp.x 15               00000000NNNovartis        00000486220160503002020490944507795383000459001510SNN00
5660262TYKERB                                      250 mg c ps.x 140       00000000NNNovartis        00389780120160425012000495238707795306332469014010NNN00
5758841ZOFRAN DR                                   4 mg comp.disol.rap.x 1000000000NNNovartis        00007843120160503012020494390307794640408953001010NNN00
5758971ZOFRAN DR                                   8 mg comp.disol.rap.x 1000000000NNNovartis        00015685420160503012020494390407795306339376001010NNN00
3167621ZOFRAN LIAM                                 8 mg a.x 1              00000000NNNovartis        00002827920160503012020490506107796930008966000110NNN00
5995551HANEDA                                      comp.x 28               00000000NNCraveri         00001350020160504002000565242007792234001146002810NNN00
0565155BIDEON BIOTIC                               colirio x 5 ml          00004240NNFecofar         00000808720160504002080924093207798006301933000110SNN00
0562713BIDEON BIOTIC PLUS                          colirio x 5 ml          00006300NNFecofar         00000888420160504002020924093307798006301940000110SNN00
9949814BELLASHAKE                                  sobres x 20             00000000NNLando           00004268920160503001001364981407798861530055002010NNN00
9949815BIOZINC                                     comp.x 60               00000000NNLando           00001412020160503001001364981507798186530024006010NNN00
9949817BIOZINC FORTE                               c ps.x 30               00000000NNLando           00002177920160503001001364981707798186530031003010NNN00
9949841NOVAPELE                                    cr.fluida corp.x 200 ml 00000000NNLando           00002401420160503001001364984107798186530062000110NNN00
9949842NOVAPELE                                    cr.reparadora x 15 g    00000000NNLando           00001452820160503001001364984207798186530079000110NNN00
9949816TRICOPEL                                    comp.x 60               00000000NNLando           00001590620160503001001364981607798186530048006010NNN00
9949843TRICOPEL                                    loc.capilar x 30 ml     00000000NNLando           00002778920160503001001364984307798186530086000110NNN00
9949818ZITOX PLUS                                  c ps.x 10               00000000NNLando           00003138820160503001001364981807798186530017001010NNN00
5780551ZINNIA                                      comp.rec.x 21           00000000NNLaboratorios Ber00001265920160418002001574348207792175008938002110NNN00
5091013OPTAMOX DUO 14:1                            susp.ped.x 140 ml       00000000NNRoemmers        00003550020160504003082034993607795345001548000130NNN00
4634303ACIMED                                      20 mg caps.x 15         00005508NNSanitas         00001149220160505002022122831907795344001105001510SNN00
4634302ACIMED                                      20 mg caps.x 30         00012300NNSanitas         00002607020160505002022122600307795344001075003030SNN00
4663691AZITRAL                                     500 mg comp.x 3         00004959NNSanitas         00000664420160505003002123439507798011651559000310SNN00
4663692AZITRAL                                     500 mg comp.x 6         00008699NNSanitas         00001115720160505003002123583607798011651658000630SNN00
6166845BUDECORT ENEMA                              2 mg enema x 7          00065314NNSanitas         00008631820160505002062124952707795373024434000710SNN00
5927001COLIXANE DISTEN                             comp.x 60 (30+30)       00000000NNSanitas         00004036320160505002022124567707798011652297006010SNN00
3760051DOM POLIENZIM 200                           grag.x 30               00000000NNSanitas         00001818020160505002022124626407798011650217003010SNN00
