9952440SALICREM ARNICA Y ANDIROBA                  b lsamo x 60 ml         00000000NNE.J.Gezzi       00001099020160509007000805244007792369004357000110NNN00
9952438SALICREM ARNICA Y ANDIROBA                  crema x 40 g            00000000NNE.J.Gezzi       00000799020160509007000805243807792369000588000110NNN00
9952439SALICREM ARNICA Y ANDIROBA                  gel x 40 g              00000000NNE.J.Gezzi       00000799020160509007000805243907792369000601000110NNN00
0279960IMOVAX POLIO                                jga.prell.x 0.5 ml      00005931NNSanofi Pasteur  00001292920160509012001530542207798015780224000111SNN00
4296482ACRYLARM                                    gel oft.x 10 g          00000000NNPoen            00001421120160509002021842247407795368001501000110SNN00
5687391ACRYLARM PLUS                               gel oft.x 10 g          00000000NNPoen            00001126120160509002021844247007795368055344000110SNN00
5384421ALKET                                       sol.oft.x 5 ml          00000000NNPoen            00001320120160509002021843669807795368054729000110SNN00
5734711ALOSOL                                      gts.oft.x 10 ml         00000000NNPoen            00000805520160509002001844165707795368055290000110SNN00
3249211ANTIBIOPTAL                                 colirio x 5 ml          00000000NNPoen            00000739220160509002001841154007795368000665000110SNN00
0821992ANTIFLOGOL                                  colirio x 5 ml          00000000NNPoen            00000607920160509002001841004907795368000344000111SNN00
0820903ANTIFLOGOL                                  gel oft.x 5 g           00000000NNPoen            00000612520160509002001841492907795368000993000111SNN00
5887971AUCIC 1.5%                                  gel.oft.x 5 g           00000000NNPoen            00001407020160509002021844494207795368547245000110SNN00
6338841AUCIC PLUS                                  sol.oft.x 10 ml         00000000NNPoen            00001824020160509002021845162807795368001624000110SNN00
4646101BRIMOPRESS                                  0.2% sol.oft.x 5 ml     00011747NNPoen            00002395120160509002081842486807795368001556000110SNN00
9946784BRIMOPRESS T                                sol.oft.x 5 ml          00013372NNPoen            00002471020160509002021844678407795368000283000110SNN00
4669971BRIXIA                                      colirio x 6 ml          00000000NNPoen            00001131920160509002021842508507795368001532000110SNN00
0824883CICLOPENTOLATO POEN                         1% colirio x 5 ml       00006105NNPoen            00000938220160509002001840660007795368000467000110SNN00
2944392CLAROFTAL                                   colirio x 10 ml         00006818NNPoen            00001143320160509002081840660107795368000481000110SNN00
6143131CLOSPORIL 0.1%                              gts.oft.x 5 ml          00024137SNPoen            00004318720160509002081844776807795368000528000110SNN00
5343421DIARIS                                      caps.x 30               00000000NNPoen            00001973020160509002021843646407795368054477003010SNN00
4466501DROPSTAR                                    colirio x 10 ml         00000000NNPoen            00001344120160509002021843116007795368002225000110SNN00
4062161DROPSTAR P                                  colirio x 10 ml         00000000NNPoen            00001665420160509002021844555907795368547269000110SNN00
4118272ERITROFARM                                  ung.oft.unidosis x 20   00010500NNPoen            00001936520160509002021843184407791763000477002010SNN00
3848004FLUORESCEINA POEN                           10% a.x 1               00007269NNPoen            00002131620160509002001845164007795368001549000110NNN00
3848003FLUORESCEINA POEN                           10% a.x 6               00000000NNPoen            00009302220160509002001845132607795368001495000610NNN00
0823132FLUOROPOEN                                  colirio x 5 ml          00000000NNPoen            00000836620160509002001841010907795368000085000111SNN00
3160931FOTORRETIN                                  colirio x 5 ml          00000000NNPoen            00000864520160509002001841061007795368000979000110SNN00
5993711GATIDEX                                     sol.oftalmica x 5 ml    00000000NNPoen            00002672520160509002021844634207795368000276000110SNN00
6181131GATIF FORTE                                 sol.oft.x 5 ml          00000000NNPoen            00002745120160509002061844873807795368001068000110SNN00
5098442GLAUCOPROST                                 sol.oft.x 3 ml          00008598NNPoen            00001338820160509002081843225207795368002270000110SNN00
3771441GLAUCOTENSIL                                colirio x 5 ml          00000000NNPoen            00001388020160509002061841435207795368001013000110SNN00
4666661GLAUCOTENSIL TD                             colirio x 5 ml          00016612NNPoen            00003165120160509002081842508607795368001594000110SNN00
9950969GOTA PC DESCONGESTIVO                       ba¤o ocular x 80 ml     00000000NNPoen            00001291420160509001001845096907795368001419000110NNN00
2775841GOTABIOTIC                                  colirio x 5 ml          00004240NNPoen            00001005720160509002081840660607795368001204000110SNN00
2775921GOTABIOTIC                                  gel oft.x 5 g           00005294NNPoen            00000887820160509002081841957707795368001259000110SNN00
9938713GOTABIOTIC                                  pack sol.oft.x 6 x 5 ml 00015815NNPoen            00002651920160509002081843871307795368054972000610NNN00
3085031GOTABIOTIC D                                colirio x 5 ml          00006300NNPoen            00001049820160509002021840969407795368000788000110SNN00
4059951GOTABIOTIC F                                colirio x 5 ml          00006300NNPoen            00001204120160509002021841749207795368001136000110SNN00
5056971GOTABIOTIC F                                ung.oft.x 3.5 g         00006500NNPoen            00001172020160509002021843198907795368002232000110SNN00
9938320LAGRIMA ARTIFICIAL                          colirio x 10 ml         00000000NNPoen            00000775620160509001001843832007795368054712000110NNN00
2795061LARSIMAL                                    colirio x 5 ml          00000000NNPoen            00000591220160509002021840661307795368000269000110SNN00
5481551LOTEMICIN                                   susp.oft.x 5 ml         00000000NNPoen            00001180820160509002021843837207795368054866000110SNN00
4739001LOTESOFT                                    susp.oft.x 5 ml         00000000NNPoen            00001586420160509002021842705707795368001600000110SNN00
4554031LOUTEN                                      colirio x 2.5 ml        00013800NNPoen            00002534720160509002081842360207795368001525000111SNN00
5044851LOUTEN T                                    colirio x 2.5 ml        00000000NNPoen            00002544520160509002021843116107795368002201000111SNN00
6095421LUSIC                                       sol.oft lm.x 10 ml      00000000NNPoen            00001844520160509002001844812607795368000511000110SNN00
5572261NATAX                                       fco.gotero x 5 ml       00000000NNPoen            00001905220160509002021844008507795368055092000110SNN00
5569391NEAGEL                                      gel oft.x 5 g           00000000NNPoen            00001518320160509002001844072307795368055085000110NNN00
3565521OFLOXACINA                                  colirio x 5 ml          00000000NNPoen            00001098420160509002081843048007795368002171000110SNN00
4420122PHYLARM                                     gts.oft.x 10 ml         00000000NNPoen            00000617420160509002021842210307795368001471000110SNN00
4704191POEN CAINA                                  colirio x 10 ml         00000000NNPoen            00000818820160509002001842745307795368001570000111SNN00
0823972POENBIOPTAL                                 colirio x 5 ml          00000000NNPoen            00000857020160509002001843578507795368054385000111SNN00
9937049POENBIOPTAL                                 pack fco.x 6 x 5 ml     00000000NNPoen            00002188620160509002001843704907795368054804000611NNN00
4670021POENBIOPTAL NF                              colirio x 5 ml          00000000NNPoen            00000656520160509002001842904207795368001655000110SNN00
0823052POENEFRINA                                  10% colirio x 5 ml      00003061NNPoen            00000454820160509002021840936507795368000740000110SNN00
2775682POENFENICOL                                 colirio x 10 ml         00003491NNPoen            00000558620160509002001840663407795368000023000111SNN00
3847934POENGLAUCOL                                 2% gts.oft.x 5 ml       00000000NNPoen            00001121820160509002081841994207795368001303000110SNN00
3771361POENKERAT                                   0.5% colirio x 5 ml     00007971NNPoen            00001160120160509002021841409907795368001051000110SNN00
2857351POENTIMOL                                   0.25% colirio x 5 ml    00003176NNPoen            00000397520160509002061840659907795368000672000110SNN00
2857435POENTIMOL                                   0.50% colirio x 5 ml    00005059NNPoen            00000991020160509002061840660207795368000160000110SNN00
2513562PROVISUAL                                   colirio x 10 ml         00004145NNPoen            00000657420160509002001840664207795368000450000110SNN00
2775501PROVISUAL COMPUESTO                         colirio x 5 ml          00000000NNPoen            00000637420160509002001840664407795368000047000110SNN00
5356681QUIDEX                                      ung.oft.x 3.5 g         00008167NNPoen            00001394220160509002081843871207795368054569000110SNN00
3649511SEDESTEROL                                  gts.oft.x 5 ml          00006667NNPoen            00000881420160509002021841305307795368000603000110SNN00
4739181TALOF                                       susp.oft.x 5 ml         00000000NNPoen            00001467920160509002021844336707795368000313000110SNN00
6268391TOLF                                        emuls.oft.x 5 ml        00000000NNPoen            00003493820160509002001845002207795368001273000110SNN00
6179131TRALER                                      sol.oft.x 5 ml          00000000NNPoen            00002029420160509002001844919107795368001075000110SNN00
5742971VISAG                                       sol.oft.x 2.5 ml        00000000NNPoen            00001254120160509002001844206007795368055306000111SNN00
4539602ALPRAZOLAM MICROSULES                       0.50 mg comp.x 30       00002300NNMicrosules Arg. 00000507520160509403022352328607791829004715003010SNN00
4539603ALPRAZOLAM MICROSULES                       0.50 mg comp.x 60       00004000NNMicrosules Arg. 00000924020160509403022352328707791829004722006030SNN00
